会社名,会場,ブース番号,説明（日本語）,備考,Best of Innovation,山中行きたい,長坂行きたい,PDFページ,PDF_X,PDF_Y
"HUA TEC INTERNATIONAL CO.,LTD.",LVCC West,62201,半導体、AI、バイオメディカル技術を統合し、特許取得済みのイノベーションを開発しています。同社は単一細胞の研究および応用プラットフォームの発展に注力し、s...,,,,,11.0,313.4,238.43
"HUMANICS CO.,Ltd.",LVCC West,63416,HUMANICSは高度なAIロボティクスを用いて医療を治療から予防へと移行させます。各ユーザーの筋骨格系データからパーソナライズされたデジタルツインモデルを作成することで、怪我のリスクを予測し...,,,,,11.0,273.58,166.82
Hanseo University,LVCC West,"61720, 61721, 61722 + 10 more",,,,,,11.0,391.2,317.98
"Hanyang University, ERICA Campus",LVCC West,"62034, 62036, 62038 + 5 more",,,,,,11.0,251.73,295.88
HapWare,LVCC West,61444,HapWareは、視覚障害者、低視力障害者、聴覚・視覚障害者に、表情、ジェスチャー、身体の言語などの非言語的なコミュニケーションの手がかりを翻訳することで、視覚障害者、低視力障害者を支援するウェアラブル技術企業です。,,,,,11.0,229.63,331.24
Hello Ello Pte Ltd,LVCC West,60213,ELLOは、高齢の家族の世話を支援するAI搭載の介護プラットフォームです。スマートカメラと即時警報を用いて、ELLOは転倒、迷い、緊急事態をリアルタイムで検知します...,,,,,11.0,269.72,401.97
Hengbot Innovation Limited,LVCC West,62919,先進的な制御技術とモーションモジュールを活用し、Hengbotはインテリジェントハードウェアアプリケーション分野で卓越を目指しています。ロボットアクチュエータ業界の革新者として、私たちは...,,,,,11.0,385.42,219.83
Hestinova Co. Ltd.,LVCC West,61446,Hestinova株式会社は2025年に杭州で設立され、高齢者向けエンボディインテリジェンスロボットの研究開発に注力しています。マルチモーダル知覚、感情的交流、自律航法を組み合わせたヘスティンは...,,,,,11.0,225.21,331.24
HoloVu,Venetian Expo,60437,HoloVuは世界初の特許取得済み協働AIスマートグラスです。それはあなたの見たものを瞬時に理解し、リアルタイムの洞察を重ね合わせ、すべての視線を共有体験に変えます—友人たちが...,,,★,,11.0,247.31,388.71
Holon Robotics,LVCC West,62201,Holon Roboticsは、製造技術を保存するAI搭載のロボティクスプラットフォームで産業オートメーションを再定義しています。台湾最大の研究所から分社し、すでにエアコンを導入している...,,,,,11.0,313.4,238.43
Hong Kong Center for Construction Robotics,LVCC West,62919,香港建設ロボットセンター(HKCRC)は、科学研究および起業家精神のプラットフォームとして2020年に設立され、香港理科大学との共同事業として誕生しました。,,,,,11.0,385.42,219.83
Hope Valley AI,LVCC West,60601,私たちHOPE VALLEY AIは、数年にわたるリスク予測と希少事象の早期弱信号検出を統合した第4世代AI(第4世代AI)を構築しています。私たちは始めます...,GPS不可環境でのナビゲーション。工場内でGPS使えない場所での位置情報ニーズは多い。良いものがないか見ておきたい,,,,11.0,305.05,371.03
Horama,LVCC West,61102,Horamaは、カスタムAI駆動の視覚分析ソリューションを設計する新しいフランス企業です。私たちはあらゆる業界、特に重要なセクターに合わせたカスタマイズされたアーキテクチャを構築し、ソブリンクラウドや...,,,,,11.0,348.98,357.76
Hummingbird Smart Home,LVCC West,60464,ハミングバードスマートホームは、当社のユニバーサルアドオンキットで既存のコードレスブラインドをスマートブラインドに変えます。設置が簡単でスマートホームシステムとシームレスに統合できる当社のソリューションは、より...,,,,,11.0,185.42,397.55
Hyundai Motor and Kia ZER01NE-CRADLE,LVCC West,"61300, 61301, 61302 + 8 more",ZER01NEは現代自動車グループのグローバルオープンイノベーションプラットフォームです。有望なスタートアップの発掘、投資、育成に努めるとともに、将来の競争力を積極的に推進しています。,,,,,11.0,344.56,344.5
"ICE LINKER Co., Ltd",LVCC West,62501,ICE LINKERは、最先端のデジタル冷却技術を通じてグローバル市場でイノベーションを起こしているリーディングカンパニーです。私たちは顧客の期待を超える品質とサービスを提供しています。これは、イノ...,,,,,11.0,347.95,238.42
IDCITI,Venetian Expo,62501,IDCITIは次世代ポジショニングの先駆者です。私たちはすべての死角(トンネル、地下、都市峡谷)で重大なGPS故障を排除します。我々の革新的なSDR技術は普遍的な互換性を保証します(いいえ...,GPS不可環境でのポジショニング。HOPと同様、工場内での位置情報ニーズに対応できるか見ておきたい,,,★★,11.0,347.95,238.42
"ILias AI Co., Ltd.",LVCC West,63300,,,,,,11.0,348.82,180.06
INSIDE QUEST,Venetian Expo,60601,InsideQuestは、オンボーディング、人事プロセス、営業、企業セミナーなど、企業のプロセスをゲーム化するSaaSプラットフォームです。私たちはワークフローをガイド付きのミッションベースの体験に変え、エンゲージメントを高めます...,,,★,,11.0,305.05,371.03
IRVINEi corporation,LVCC West,61860,IRVINEiは世界初のAIホームハブであるOVALでインテリジェントリビングの未来を定義しています。OVALはカスタマイズされたセキュリティ、自動化、AIのコンパニオンを一つのインテリジェントデバイスに統合しています。私。。。,,,,,11.0,194.26,304.72
Impulse Wellness,LVCC West,61239,Impulse Wellnessの使命は、生理データを実践可能な健康洞察に変換するスマートなウェアラブル技術で人々や専門家を支援することです。私たちは改善を目指しています...,,,,,11.0,242.89,335.66
International Boost,LVCC West,"60701, 60703, 60900 + 16 more",International Boostは、フランスのスタートアップ企業、中小企業、スケールアップ企業がCESラスベガスやGITEXなど世界最大級のテックステージで輝くのを支援しています。プレミアムスタンドから投資家マッチメイキング、戦略的コーチングまで...,,,,,11.0,344.56,375.44
Iomtek,LVCC West,61453,IOMTEK社は、農業、建物、車両における熱ストレスを軽減する先進的な放射冷却および赤外線遮断フィルムを開発しています。同社のAgriCool™映画は卓越したパフォーマンスを示し、...,,,,,11.0,205.12,304.73
IriHealth,LVCC West,61236,IriHealthはAI駆動の虹彩解析を活用し、予防医学の発展に取り組んでいます。私たちの技術は虹彩パターンの微妙な変化を特定し、早期疾患の発見と実行可能な検査を可能にします...,,,,,11.0,247.31,344.5
Italian Trade Agency,LVCC West,"61000, 61001, 61601 + 1 more, 5374",ITA – イタリア貿易庁は、イタリア企業の国際化を支援し、外国投資を促進する政府機関です。グローバルなネットワークと高度な通信を通じて...,,,,,11.0,305.0,357.76
Japan (J-Startup),Venetian Expo,62801,日本貿易機関(JETRO)は、日本政府に所属する機関であり、世界的に事業を拡大する日本企業や日本に進出する国際企業を支援しています。JETROのスタート...,,,★★,,11.0,302.4,213.22
"Jiangsu Huachen Optoelectronic Technology Co., Ltd",LVCC West,60249,,,,,,11.0,220.78,401.97
"Joomidang Co., Ltd.",LVCC West,63600,Joomidangは、抽象的な味や香りのアイデアを生産可能なフォーミュラに変えるAIフレーバー&香水創造会社です。大規模な化学と感覚データで訓練され、精密なプロ...,,,,,11.0,300.98,170.56
KALMAN,LVCC West,62833,ロボットを使った高付加価値資産検査および保守サービス。原子力発電所を含む施設向けに、放射線データ収集など、さまざまな特殊用途ロボットを提供しています。,,,,,11.0,241.29,206.6
"Karasonic International Co., Ltd.",LVCC West,62201,私たちは自社製造を持つオーディオイノベーション企業で、特許取得済みの低遅延無線システムを専門としています。私たちの使命は、静かで共有かつ柔軟なエンターテインメントソリューションを提供することです...,,,,,11.0,313.4,238.43
Kickstarter,LVCC West,60101,Kickstarterは、あらゆる規模のクリエイティブプロジェクトのためのクラウドファンディングおよびローンチプラットフォームとしてリードされています。あなたの興味や価値観を共有し、アイデアを形にするグローバルなコミュニティとつながりましょう。,,,,,11.0,344.88,410.81
Kombu LLC,LVCC West,60432,KOMBUは、テック業界の中心地、サンフランシスコに位置する革新的な家電企業です。現代的なキッチン家電やアクセサリーの設計・製造を専門とするKO...,,,,,11.0,256.15,397.55
Konsttech Ltd,LVCC West,62201,KONSTは、AIDC設計、高性能GPU展開、ハイブリッドAIクラウドサービスを専門とするAIインフラ企業です。液冷統合とその Glows.ai プラットフォームの専門知識を持つ...,,,,,11.0,313.4,238.43
Korea Creative Content Agency (KOCCA),LVCC West,62738,韓国クリエイティブコンテンツ代理店(KOCCA)は、放送、ビデオゲーム、音楽、ファッション、アニメーション、キャラクター、コミック、IP、ニューテクノなど、多様なジャンルの制作と事業の成長を支援しています。,,,,,11.0,429.99,237.53
Korea Institute of Science and Technology,LVCC West,62643,KISTは人類の最大の課題に対して革新的な解決策を生み出すグローバルな研究機関です。ミッション主導の研究、融合、起業家精神、グローバルパートナーシップに注力しています。から。。。,,,,,11.0,221.83,238.41
Korea Institute of Startup & Entrepreneurship Dev,LVCC West,"62817, 63416, 63600 + 1 more",スタートアップ企業の成長と雇用機会を通じて国の経済発展に貢献し、カルトを通じて将来の起業家の技術基盤型スタートアップを推進することを目指しています...,,,,,11.0,272.28,206.6
Krafted,LVCC West,60233,クラフテッド - 違うことを敢えて。ここで新たなイノベーションの夜明けが訪れ、すべての製品が丹念にクラフト加工され、卓越性の新たな基準を打ち立てる長く残る作品が生まれます。凡庸を超えて、一体化しなさい...,,,,,11.0,256.15,401.97
L'AIR,Venetian Expo,62201,「L'AiR NAViはAI搭載の屋内ナビゲーションシステムで、すべての訪問者に個人ガイドを提供します。タイピングは不要で、自然な会話で自由に空間を探検できます。複数の言語を支えています...,GPS不可環境での屋内ナビ。HOP、IDCITIと同様の観点で見ておく,,,★★,11.0,313.4,238.43
LEEBIO,LVCC West,62833,リービオは、光学分析とAIベースの解釈を組み合わせたスマート診断デバイスを開発しています。私たちの製品は、シンプルで使いやすい操作でラボレベルの精度を提供し、家庭用ユーザーにサービスを提供します、彼は...,,,,,11.0,241.29,206.6
LG NOVA Zenith Electronics LLC,LVCC West,60301,LG NOVAは、グローバルなイノベーションリーダーであるLGエレクトロニクスの北米イノベーションセンターであり、外部からのイノベーションをLGにもたらすことに注力したチームです。このセンターの使命は、イノベーションを促進することです...,,,,,11.0,346.72,384.29
LIGHT MOMENTUM TECHNOLOGY CORP.,LVCC West,62201,スマート製造、金融技術などの分野で国内外の顧客にサービスを提供する、受注されたIC設計、サービス、製造に基づく統合的かつ革新的なサービスを提供しています。,,,,,11.0,313.4,238.43
LK ROBOTICS Inc.,LVCC West,62501,,,,,,11.0,347.95,238.42
LM3D,LVCC West,62201,LightMatrixは、独自のアルゴリズムと統合されたハードウェア・ソフトウェアソリューションを専門とする、グローバルなフォトグラメトリーおよび3D技術のリーダーです。私たちは高速で正確、かつコスト効率の良い3D m...,,,,,11.0,313.4,238.43
"LVING, Inc.",LVCC West,61464,"LVINGは、あなたの自立生活のニーズすべてに対応する唯一のアプリです。LVING, Inc.の使命は、すべての人がよりアクセスしやすくサービスを提供し、安心して生活できるよう力を与えることです。私たちはトランス...",,,,,11.0,185.42,331.24
Laundrobot corporation,LVCC West,60251,クロノメイドは時計学の時代を超えた芸術性に触発されたマーティフォンアクセサリーをデザイン・製造しています。,,,,,11.0,216.36,401.97
"Leta Innovation Technology (Chongqing) Co., Ltd.",LVCC West,62919,Leta-innoは2024年に設立され、DJIの父である李澤翔氏からxbotparkシステムを通じてエンジェル投資を受け、重慶国有資産基金からの投資も受けました...,,,,,11.0,385.42,219.83
LeydenJar,LVCC West,62100,LeydenJarの純粋なシリコンアノードは、1350 Wh/Lでエネルギー密度の世界記録を樹立しました。この画期的な技術は、ウェアラブル、スマートフォン、ノートパソコンにより長いバッテリー寿命、より高速な充電、そして持続性を備えています...,,,,,11.0,346.94,271.58
LiPro Vision Inc.,LVCC West,62201,LiPro Visionは、AR/AIスポーツアイウェア用の超コンパクトで高効率なディスプレイモジュールであるMetalens Optical Engineを開発しています。私たちはこの技術をブランドに提供し、日光で読み取れるブライトーンを実現しています...,,,,,11.0,313.4,238.43
Luchrome,LVCC West,60412,Luchromeは新型電子ペーパーディスプレイの独自の製造会社です。柔軟な基板を基にしたこのディスプレイは、市場で最も省エネかつコスト効率の良いディスプレイです。この商品は...,,,,,11.0,269.72,397.55
"Ludens AI Co., Ltd.",LVCC West,60441,LUDENS AIは、人とAIの関係を設計する企業です。私たちは日常的なコンパニオンロボットを作り出しています。安全で直感的、そして遊びや自然な交流を通じて日常生活にシームレスに織り込まれています...,,,,,11.0,238.47,388.71
Luminoah,LVCC West,60509,ルミノアは、初のクローズドループパーソナライズ栄養プラットフォームであるLuminoah Flow™で腸内ケアを再定義しています。このシステムはデータ対応のウェアラブルポンプ、スマート消耗品、モバイルアプリ、そしてp...を組み合わせています。,,,,,11.0,364.95,384.29
MADI,LVCC West,63300,MADI Inc.は、AI搭載のデジタルツインを通じて臨床試験に革命をもたらすデジタルヘルススタートアップです。2025年に医学教授やAI専門家によって設立されたMADI-DTは、g...を用いて合成患者を創造します。,,,,,11.0,348.82,180.06
MAVIOS AVIATION,LVCC West,63432,MAVIOS Aviationは、AI搭載のインテリジェントUAVシステムと再生可能エネルギー支援の自律型ドローン充電ステーションソリューションを提供し、これらのシステムとシームレスに統合しています。現代では、...,,,,,11.0,240.13,184.48
MEERAI.IO,LVCC West,60711,MeeraiはAIを活用し、中古品をeコマースのようにシームレスにしています。フランスのマンガ市場でMVPを立ち上げてからは、現在のユニコーンの5倍の速さで成長しました。今、チームを拡大するために最初のラウンドを募集します...,,,,,11.0,369.65,344.52
METAFARMERS,LVCC West,63416,MetaFarmersは、労働集約型の作業を自動化し、効率を高め、労働力不足の解決を目的としたAI搭載の農業ロボットを開発しています。私たちのロボットは収穫と受粉、組み合わせを専門としています...,,,,,11.0,273.58,166.82
MMSTAR Technologies Limited,LVCC West,63200,"私たちは、香港科技大学の教授陣や上場企業の元幹部と共同で立ち上げた、養殖AIoT技術企業です。5Gを組み合わせています,...",,,,,11.0,302.69,186.7
"MOOOORE CO., LTD.",LVCC West,62201,MOOOOREは進化する需要に応えるため、技術的なブレークスルーを常に追求しています。当社のコア特許取得技術M4OREフローに基づき、チームは人と人と...,,,,,11.0,313.4,238.43
MOSS,LVCC West,62633,MOSSは「プロデューサーAI」を開発しています。これは、プロフェッショナルな精度で音楽を自動的に分析、ミックス、マスタリングするインテリジェントオーディオアシスタントです。人間の創造性とAI駆動の製品をつなぐことで...,,,,,11.0,243.93,238.41
MY LINK Inc.,LVCC West,62845,MY LINKは、プロジェクト管理、生産スケジューリング、品質、コラボレーションを一つのシステムに統合したクラウドベースの製造DXプラットフォームを提供します。注文注文の製造者向けに作られてるんだ、おお...,,,,,11.0,213.61,215.42
MagitiQ,Venetian Expo,60433,MagitiQは0.5インチのキューブで、どんなメガネにもクリップで装着してAIアイウェアに変えます。パソコン、スマートテレビ、モバイル画面など、あなたが見ている場所をリアルタイムで知ることができます。それは...,,,★,,11.0,256.15,388.71
"Mangdang Technology Co., Ltd",LVCC West,63200,2020年に設立された当社は、生活の質を向上させる革新的なロボットソリューションの研究開発・生産に注力しています。私たちはロボット製品をコラボレーションで披露しています...,,,,,11.0,302.69,186.7
MantiSpectra BV,LVCC West,62100,マンティスペクトラは、小型化された半導体近赤外線(NIR)多チャネルスペクトルセンシングICであるChipSense™を製造しています。ChipSense™はリアルタイムで低コスト、非接触かつ非破壊的な物資を可能にします...,,,,,11.0,346.94,271.58
Mapfirst.ai,LVCC West,61034,Mapfirst.ai はMapFirstの収益化プラットフォームで、コンテンツクリエイターが地図を収益に変えるのを支援しています。Googleのようなプロバイダーに地図料金を払う代わりに、MapFirstを使ってより良いAIを提供しましょう...,,,,,11.0,251.73,357.76
MediMirror,LVCC West,61267,MediMirrorは、分割偏光ミラーを用いて、表層と表面下の肌層の両方を同時に見ることができる消費者向けスキンケアデバイスです。この分割ビュー、並列の偏光は...,,,,,11.0,181.0,335.66
Memorence AI,LVCC West,62201,Memorence AIは、人間のフィードバックをリアルタイムで適応しつつ、AIシステムにおける壊滅的な忘却を防ぐ脳にインスパイアされた即時学習AIを構築します。私たちのアプローチは人間とAIの相互作用を橋渡しし、,,,,,11.0,313.4,238.43
Merlyn Motors,LVCC West,63432,マーリンは都市のモビリティに合わせた製品やサービスを開発しており、個人の車所有の代替としてカー・アズ・ア・サービス(Car-as-a-aservice)のビジネスモデルを活用しています。マーリンは現在、電動マイクを開発しています...,,,,,11.0,240.13,184.48
"MetAI Technology Co., Ltd.",LVCC West,62201,MetAIはNVIDIAが支援するスタートアップで、産業用シミュレーションや物理AIトレーニングのためのスケーラブルなインフラを構築しています。当社のプラットフォームであるMetGenは、設計図や間取り図(例えばCAD)を即座に変換します...,,,,,11.0,313.4,238.43
"Meta Intelligence Co., Ltd.",Venetian Expo,62201,Meta Intelligenceは、AIの品質と普及を促進するためにカスタムエンタープライズソリューションと直感的なSaaSを提供するAIイノベーション企業です。グローバルな専門家ネットワークを持ち、AIに焦点を当てた出版物を共著しています...,,,★,,11.0,313.4,238.43
Michigan State University,LVCC West,"61632, 61634, 61636",バーガス起業家精神研究所は、起業家精神を育み新たな発想を生み出すためのプログラム、コース、リソースを提供することで、学生が行動を通じて学べるよう力を与えています...,,,,,11.0,256.15,317.98
"Micropix Co.,Ltd.",LVCC West,62845,,,,,,11.0,213.61,215.42
Milli,LVCC West,62201,ミリは、拡張現実(AR)と人工知能(AI)の統合応用を専門とするテックスタートアップです。完全自律的な研究開発チームと高度に統合された技術キャップの支援を受けて...,,,,,11.0,313.4,238.43
Mindverse AI,LVCC West,"60455, 35902",2022年に設立されたMindverseは、脳に触発されたAIと大規模言語モデルに注力しています。チームはFacebook、Google、Alibaba、Microsoftなどのトップスクールや企業から集まっています。マインドバースは世界を立ち上げた...,,,,,11.0,207.52,388.71
Miniskop Arg org Ltd Sti,LVCC West,63432,Miniskop / Curiousboxは、子どもたちのためのインタラクティブなSTEM学習体験を創出する教育技術スタートアップです。IotifyeduのIoTベースの教育プラットフォームを統合することで、物理的な探求とd...を融合させています。,,,,,11.0,240.13,184.48
Mirror Caring Limited,LVCC West,63200,"ミラー・ケアリング株式会社は、未来(ケアリング)モビリティ研究センターのスタートアップ企業です。未来(ケアリング)モビリティ研究センターは、学際的で最先端のビジョンを体現しています,...",,,,,11.0,302.69,186.7
Mission InnoTech,LVCC West,"61432, 61433, 61434 + 7 more",ミッション InnoTech - CES 2026 パビリオンはスタートアップを歓迎します。,,,,,11.0,256.15,331.24
Mobility Lab,LVCC West,62653,,,,,,11.0,208.48,238.41
Motion Informatics,LVCC West,61701,モーション・インフォマティクスは、実際の筋肉信号を読み取り、AIを用いた治療法を適応させ、拡張現実を用いて回復を導く臨床的根拠に基づく神経リハビリテーション技術を開発しています。会社は...,,,,,11.0,345.6,300.3
MountAIn,LVCC West,60711,私たちは物理的なAIを85%が「オフライン」の世界に持ち込みます。CESイノベーション賞受賞のミドルウェア(IBEXセンサーを駆動)は、1000倍のパワージャンプを実現し、太陽光発電でクラウドグレードのAIを実現します。私たちが最初に...,,,,,11.0,369.65,344.52
Mr Suricate,LVCC West,60601,スリケイト氏はウェブ、モバイル、APIアプリケーションのノーコード自動テストを専門としています。同社のSaaSプラットフォームはリアルタイムで問題を検出します。CESでは、AI実行エンジンの回転 Suricate.ai を発表します...,,,,,11.0,305.05,371.03
Multiply Studio & Technologies Limited,LVCC West,63200,FirstResumeは、Z世代が初めての仕事を得るためのAIキャリアエージェントで、求人活動のプロセスを検索から応募まで自動化し、競争優位性と時間と労力の節約を実現します。,,,,,11.0,302.69,186.7
"MySmaX Co., Ltd.",LVCC West,63300,MySmaX(「My Smart X」の略)は、先進的なIoT技術であらゆる空間をスマートな環境に変えることを目指しています。従来のIoTプラットフォームとは異なり、ユーザーがスマートデバイスを直接操作するのとは異なり、私たちの...,,,,,11.0,348.82,180.06
Mycomfytech,LVCC West,62201,MyComfyTechは、リアルタイム環境分析、適応型ろ過、持続可能なデザインを組み合わせたAI搭載のウェアラブルおよびモジュール式空気清浄ソリューションを開発し、個人の健康を向上させます。,,,,,11.0,313.4,238.43
Mymemo AI LLC,LVCC West,60458,MyMemo AIは記憶力、共感力、知能を備えた手頃な価格の家庭用ロボットを作り出します。日々の家事をこなし、植物やペットの世話をし、家族とつながるために設計されており、温かさと気づきをもたらします...,,,,,11.0,198.68,397.55
NAWA,LVCC West,63416,環境保護に取り組む若い会社が「アプジャンソ」と呼ばれています。環境破壊を遅らせるための最初の一歩は、使い捨てカップをリサイクルする機械を作ることでした。彼らは今や...,,,,,11.0,273.58,166.82
NCREE,LVCC West,62201,NARLabsのNCREEの一部である5Dスマートシティグループは、AI搭載プラットフォーム向けのデジタルツインを開発しています。NCREEと国立台湾博物館は、受賞歴のある5Dスマート構造安全モニターを共同で開発しました...,,,,,11.0,313.4,238.43
NEOIA,LVCC West,60401,自律型の水を使わない太陽光発電清掃ロボットを発明した革新的な企業です。このソリューションは露を利用して、太陽光発電設備を一年中清潔に保ちます。いくつかの特許を持っていて、君は...,,,,,11.0,305.05,384.29
NEXTWAVE,LVCC West,62633,モノのインターネット(IoT)は、人と物をつなぎ、半導体、無線、ソフトウェア技術の進歩の恩恵を受けています。しかし、ハードウェア、ソフトウェア、その他の複雑な統合が...,,,,,11.0,243.93,238.41
NODI,LVCC West,60653,スマートフォンの利点を軽減しつつ、子ども向けの美しくスマートな製品です。,,,,,11.0,211.94,375.44
"NeuroShine Co., Ltd.",LVCC West,62201,NeuroShineは生成AI、強化学習、マルチフィジックスシミュレーションを統合し、高度なICパッケージングのための統一EDAプラットフォームを構築しています。,,,,,11.0,313.4,238.43
Neuromoment,LVCC West,62633,"SlyricはNeuromomentの旗艦AI搭載睡眠ソリューションで、より良く、より安らかな睡眠を手に入れるよう設計されています。Slyric AIを使えば、毎晩数秒でパーソナライズされた睡眠音楽を作曲できます,...",,,,,11.0,243.93,238.41
NewHaptics,LVCC West,61045,NewHapticsは、初の多行点字ディスプレイであるCodexで、視覚障害者のデジタルアクセスを変革しています。CES 2026で初公開されたコデックスは、長年の政府支援の集大成です...,,,,,11.0,229.63,348.92
Next Integral Ltd.,LVCC West,62201,食品・飲料の中小企業向けのコンパクトなAI検査システム。NEXUOは充填、キャップ、ラベル、バーコード、シールの欠陥をリアルタイムで検出します。プラグアンドプレイ、手頃な価格(AOIより5〜10〜10×安)、SaaSダッシュボードを備えて...,,,,,11.0,313.4,238.43
"Noron Technology (Huizhou City) Co., Ltd.",LVCC West,62919,PePeHolaは、ペットと飼い主の絆を高めることに専念する革新的なペットテクノロジー企業です。,,,,,11.0,385.42,219.83
ONEEX,LVCC West,60711,Oneexは高度なソフトウェア開発とAI駆動の身分証明書解析を専門としています。我々の技術は、世界中のすべての国の身分証明書の認証を自動化しています。,,,,,11.0,369.65,344.52
ONYL ROCKS (Vigidomaine),LVCC West,60711,Vigidomaineは、誤字不正、ブランドなりすまし、サイバーリスクをリアルタイムで検出するドメイン脅威インテリジェンスプラットフォームです。CISOや法務チーム向けに設計されており、ドメインポートフォリオを保護します。,,,,,11.0,369.65,344.52
"OTITON MEDICAL Co.,Ltd.",LVCC West,63300,Otiton Medicalは、スマートでAI搭載の在宅医療機器を専門とするデジタルヘルスケア企業です。当社の旗艦製品「Dr. In-Home」は、高精度の温度測定と先進的な...,,,,,11.0,348.82,180.06
Omelet,LVCC West,62633,オムレツは、産業現場の複雑な意思決定問題を効率的に解決するための最適化AI基盤モデルを開発しており、最適化AIエージェントの形で提供されています。,,,,,11.0,243.93,238.41
OptAI,LVCC West,63300,あらゆるモデル、任意のデバイス OptAIは、ハードウェア認識型モデル最適化技術を備えたリソース制約のあるデバイス上で強力なAIモデルを最適化・展開する技術企業を支援します。対応モデル:...,,,,,11.0,348.82,180.06
Optivalue.ai,LVCC West,60401,Optivalue.Ai コンプライアンスを競争優位に変えます。そのAI搭載プラットフォームは、分野特化の専門知識を基に訓練されており、グローバルチームが監査やRFPに100倍速く対応し、トレーサブルでコンプリミュリー...,,,,,11.0,305.05,384.29
OrULink,LVCC West,62919,OrULink:人間とロボットの相互作用の再定義。本社はイノベーションハブの深圳にあり、感情AIの次世代を切り開いています。冷たいハードウェアと人間のコンテンの橋渡しをする...,,,,,11.0,385.42,219.83
Orbiba Robotics,LVCC West,63432,Orbiba Roboticsは、小規模および有機農家が雑草管理、生物多様性のモニタリング、持続可能な収量最適化を可能にする、手頃な価格のAI搭載モジュール式農場ロボットを開発しています。ロボット工学とAIを組み合わせて...,,,,,11.0,240.13,184.48
OrthoFoodie,LVCC West,62100,食品の最適な栄養成分に関する科学的知見で食品連鎖全体を革新し、より健康的なライフスタイルを促進し、肥満や慢性疾患といった世界的な健康危機に対処します...,,,,,11.0,346.94,271.58
P2ACH AI,LVCC West,63300,P2ACH AIは超軽量のEdge Vision AIを用いてオフラインメディアや物理空間の価値を正確に測定します。リアルタイムのオーディエンス分析、行動データ、定量的指標などを提供しています。,,,,,11.0,348.82,180.06
PAIRFS,LVCC West,60711,PAIRFSは、呼気分析に基づくスポーツ、健康、ウェルネス用途向けのウェアラブルを開発しています,,,,,11.0,369.65,344.52
PATTERNOX,LVCC West,61701,私はオフィル医師です。母の皮膚がんとの闘いに触発され、私は化粧品や皮膚がんの病変変形(異常)を検出するための革新的なイメージャー「PatScope」スキャナーを発明しました。お父さん。。。,,,,,11.0,345.6,300.3
PERCIVAI,LVCC West,62100,LiDARのような高価なセンサーは、自動運転車やロボットのコストを上げています。Perciv AIでは、これらのコストを削減するために、レーダーやレーダーカメラを使ったAI駆動の知覚システムに置き換えています。,,,,,11.0,346.94,271.58
PEUTY,LVCC West,61100,PEUTYはレザークラフトとテクノロジーを融合させ、ファッションに革命をもたらしています。接続されたインフィニティハンドバッグは瞬時に色やパターンを変え、かつてないレベルのパーソナライズと...,,,,,11.0,344.56,357.76
"PLAYLEGEND CO., LTD.",LVCC West,62817,PlayLegendは2021年に韓国で設立され、「遊びとテクノロジーで世界を変える」というビジョンを掲げています。同社はデジタル、体験を提供することで、グローバルなテーマパークフランチャイズになることを目指しています...,,,,,11.0,272.28,206.6
PRODIGY PRODUCTS S.R.L.,LVCC West,62000,Prodigyは、迅速なオンボーディングと長期的な導入の両方をサポートするハイブリッド型エンタープライズ向けAI収益モデルを採用しています。,,,,,11.0,310.14,282.62
PV Circonomy,LVCC West,62201,PVサーコノミーは、寿命を迎えた太陽光パネルを無限のエネルギーに変える循環型ソリューションを提供します。当社のPVサーキュレーターは99.3%の物質回収率を達成し、SilaLoopはEoLのPVモジュルから水素を生成します...,,,,,11.0,313.4,238.43
Parc,LVCC West,62817,Parcは生産性技術の企業で、仕事をよりシンプルな管理方法を開発しています。私たちの最初の製品である 2-b.ai は、ユーザーが任意のコンテンツをドラッグしてタスクをキャプチャし、即座にタスクを取得できるAI搭載のToDoリストです。,,,,,11.0,272.28,206.6
PathAble AI,Venetian Expo,61462,PathAble AIは、障害のある人々が有意義な仕事の訓練、発見、維持を支援する支援スタッフを置き換えるのではなく、置き換えるのではなく力を与えるAI駆動のツールを作成します。書類仕事を削減し、収容能力を増やし、即興で...,スマートデバイス活用の観点で、障害者向けツールを見ておきたい。工場には耳の聞こえない方などもいるため,,,★★,11.0,189.84,331.24
Pelsee US Inc,LVCC Central,21436,Pelseeはインテリジェント技術を通じて運転の未来を再定義しています。先進的なミラードライブレコーダーから次世代のダッシュカムまで、AI駆動の運転支援とフルカラーのナイトモードを統合しています...,,,,,11.0,438.28,284.2
Pisco,LVCC West,61042,Piscoはエンジニアリングの生産性を最大40%向上させ、チームがハードウェアの設計と納品を2倍の速さで行うことを可能にします。AIによって駆動されるPiscoは、エンジニアリングや供給チームが部品を迅速に見つけて管理するのを支援します。,,,,,11.0,234.05,357.76
Plantelligence,LVCC West,60442,Plantelligenceは、スマートハードウェア、センサー、AIを活用して植物を簡単かつ美しく育てるテックスタートアップです。最初の製品であるARKは、光、水、空気を監視する完全自動テラリウムです。,,,,,11.0,234.05,397.55
PledgeBox Inc,LVCC West,60311,PledgeBoxは、Kickstarterのプレッジを一か所で管理し、より多くの報酬を得るアップセルを手に入れ、支援者を満足させ、期限内に納品することも可能です。PledgeBoxはキャンペーン後の履行プロセスを簡素化します...,,,,,11.0,368.28,407.27
